customer_id,y,mu,d_plus,d_minus,knn_purity,knn_mean,view,fold,y_true,y_pred,correct
1000013,1,0.0,0.0,0.0,0.3,0.0,naics,1,1,0,0
1000074,1,0.53846153846071,0.5,0.15,0.4,0.415,naics,5,1,0,0
1000129,0,0.0,0.0,0.0,0.7,0.0,naics,3,0,0,1
1000147,0,0.0,0.0,0.0,0.6,0.045,naics,4,0,0,1
1000232,0,0.0,0.0,0.0,0.2,0.0,naics,1,0,1,0
1000240,0,0.0,0.0,0.0,0.5,0.0,naics,4,0,1,0
1000337,1,0.0,0.0,0.0,0.9,0.0,naics,3,1,1,1
1000340,1,0.0,0.0,0.0,0.4,0.0,naics,2,1,0,0
10006,0,0.0,0.0,0.0,0.4,0.0,naics,1,0,1,0
1000711,1,0.0,0.15,0.15,0.6,0.165,naics,2,1,0,0
1000832,1,0.0,0.0,0.0,0.5,0.0,naics,5,1,0,0
1000872,0,0.0,0.0,0.0,0.6,0.0,naics,2,0,1,0
1000951,0,0.9999999999975,0.4,0.0,0.0,0.3099999999999999,naics,3,0,1,0
1001039,1,0.0,0.0,0.0,0.5,0.0,naics,5,1,0,0
1001040,1,0.0,0.0,0.0,0.5,0.0,naics,3,1,0,0
1001049,1,0.0,0.0,0.0,0.9,0.0,naics,4,1,1,1
1001056,1,0.9999999999933332,0.15,0.0,0.2,0.03,naics,2,1,0,0
1001095,0,0.0,0.0,0.0,0.4,0.0,naics,3,0,1,0
1001192,1,0.0,0.0,0.0,0.5,0.0,naics,2,1,1,1
1001305,0,-0.9999999999933332,0.0,0.15,0.7,0.225,naics,3,0,1,0
1001307,0,0.0,0.0,0.0,0.2,0.0,naics,4,0,1,0
1001436,1,0.0,0.0,0.0,0.5,0.0,naics,4,1,1,1
1001493,0,0.0,0.0,0.0,0.4,0.0,naics,1,0,1,0
1001682,0,0.0,0.0,0.0,0.4,0.1699999999999999,naics,3,0,0,1
1001716,1,0.0,0.0,0.0,0.8,0.0,naics,1,1,1,1
1001755,0,0.0,0.0,0.0,0.6,0.0,naics,2,0,0,1
1001772,1,0.0,0.0,0.0,0.6,0.0,naics,4,1,1,1
1001778,0,-0.9999999999933332,0.0,0.15,0.6,0.105,naics,3,0,1,0
1001792,0,0.0,0.0,0.0,0.4,0.015,naics,2,0,1,0
1001829,1,0.0,0.0,0.0,0.2,0.0,naics,3,1,0,0
1001837,1,0.0,0.0,0.0,0.4,0.015,naics,4,1,0,0
1001927,1,-0.3333333333325926,0.15,0.3,0.5,0.5349999999999999,naics,4,1,0,0
1001959,0,0.0,0.0,0.0,0.6,0.015,naics,5,0,0,1
1002046,1,0.0,0.0,0.0,0.9,0.0,naics,3,1,1,1
1002124,1,-0.9999999999933332,0.0,0.15,0.9,0.075,naics,1,1,1,1
1002184,1,0.0,0.0,0.0,0.9,0.0,naics,4,1,1,1
1002348,0,0.0,0.0,0.0,0.5,0.0,naics,3,0,0,1
1002417,1,0.0,0.0,0.0,0.8,0.0,naics,1,1,1,1
1002449,1,0.0,0.0,0.0,0.8,0.03,naics,3,1,1,1
1002639,0,0.0,0.0,0.0,0.7,0.06,naics,2,0,1,0
1002642,0,-0.4545454545446281,0.15,0.4,0.7,0.37,naics,5,0,0,1
1002643,0,0.0,0.0,0.0,0.1,0.0,naics,3,0,1,0
1002672,0,0.0,0.0,0.0,0.3,0.0,naics,3,0,0,1
1002796,1,0.0,0.0,0.0,0.8,0.0,naics,2,1,1,1
1002841,0,-0.9999999999933332,0.0,0.15,0.8,0.06,naics,1,0,0,1
1002916,0,0.0,0.0,0.0,0.6,0.105,naics,5,0,0,1
1002943,0,-0.9999999999933332,0.0,0.15,0.8,0.06,naics,1,0,0,1
1002971,1,0.0,0.0,0.0,0.5,0.0,naics,1,1,1,1
1003026,0,0.0,0.0,0.0,0.4,0.0,naics,4,0,1,0
10031,0,0.0,0.0,0.0,0.2,0.0,naics,4,0,0,1
1003407,1,0.0,0.0,0.0,0.6,0.0,naics,5,1,1,1
1003418,0,0.0,0.0,0.0,0.8,0.06,naics,1,0,0,1
1003498,1,0.0,0.0,0.0,0.4,0.045,naics,1,1,0,0
1003655,0,0.0,0.0,0.0,0.6,0.0,naics,3,0,1,0
1003719,1,-0.9999999999933332,0.0,0.15,0.7,0.18,naics,1,1,0,0
1003749,0,0.0,0.0,0.0,0.9,0.0,naics,4,0,0,1
1003914,1,0.0,0.0,0.0,0.5,0.0,naics,4,1,1,1
1004001,1,0.0,0.0,0.0,0.4,0.045,naics,4,1,0,0
1004017,1,0.0,0.0,0.0,0.5,0.0,naics,2,1,1,1
1004051,1,0.0,0.0,0.0,0.8,0.0,naics,2,1,0,0
1004178,1,0.0,0.0,0.0,0.5,0.0,naics,5,1,0,0
1004347,0,0.0,0.0,0.0,0.7,0.03,naics,1,0,0,1
1004428,1,0.0,0.0,0.0,0.7,0.045,naics,4,1,0,0
1004472,1,0.0,0.0,0.0,0.8,0.0,naics,4,1,1,1
1004524,0,0.0,0.0,0.0,0.4,0.0,naics,2,0,1,0
1004720,0,-0.9999999999933332,0.0,0.15,0.7,0.235,naics,1,0,1,0
